reservoir,date,area_m2
Cannonsville,1984-06-15,15957900
Cannonsville,1984-07-15,16064100
Cannonsville,1984-08-15,15583500
Cannonsville,1984-09-15,14478300
Cannonsville,1984-10-15,14466600
Cannonsville,1984-11-15,14469300
Cannonsville,1984-12-15,14472000
Cannonsville,1985-04-15,14480100
Cannonsville,1985-05-15,14478300
Cannonsville,1985-06-15,14407200
Cannonsville,1985-07-15,14407200
Cannonsville,1985-08-15,14396400
Cannonsville,1985-09-15,14412600
Cannonsville,1985-10-15,14664600
Cannonsville,1985-11-15,18413100
Cannonsville,1986-03-15,18288000
Cannonsville,1986-04-15,17253000
Cannonsville,1986-05-15,17215200
Cannonsville,1986-06-15,16961400
Cannonsville,1986-07-15,16958700
Cannonsville,1986-08-15,16532100
Cannonsville,1986-09-15,16461000
Cannonsville,1987-03-15,18426600
Cannonsville,1987-04-15,18416700
Cannonsville,1987-05-15,17190000
Cannonsville,1987-06-15,16644600
Cannonsville,1987-07-15,15685200
Cannonsville,1987-08-15,15688800
Cannonsville,1987-09-15,15487200
Cannonsville,1987-10-15,15517800
Cannonsville,1987-11-15,18173700
Cannonsville,1988-04-15,17949600
Cannonsville,1988-05-15,15101100
Cannonsville,1988-06-15,16786800
Cannonsville,1988-07-15,14617800
Cannonsville,1988-08-15,13702500
Cannonsville,1988-09-15,13389300
Cannonsville,1988-10-15,13392000
Cannonsville,1988-11-15,15561000
Cannonsville,1989-05-15,16728300
Cannonsville,1989-06-15,16729200
Cannonsville,1989-07-15,16730100
Cannonsville,1989-08-15,16227900
Cannonsville,1989-09-15,15888600
Cannonsville,1989-10-15,15575400
Cannonsville,1989-11-15,15578100
Cannonsville,1990-06-15,16000200
Cannonsville,1990-07-15,16016400
Cannonsville,1990-08-15,15646500
Cannonsville,1990-09-15,15646500
Cannonsville,1990-10-15,15815700
Cannonsville,1990-11-15,18403200
Cannonsville,1990-12-15,18407700
Cannonsville,1991-01-15,18272700
Cannonsville,1991-02-15,18410400
Cannonsville,1991-03-15,18410400
Cannonsville,1991-04-15,18116100
Cannonsville,1991-05-15,17523900
Cannonsville,1991-06-15,16182900
Cannonsville,1991-07-15,13996800
Cannonsville,1991-08-15,10975500
Cannonsville,1991-09-15,10474200
Cannonsville,1991-10-15,10476000
Cannonsville,1991-11-15,15228000
Cannonsville,1992-04-15,54000
Cannonsville,1992-05-15,16164000
Cannonsville,1992-06-15,13642200
Cannonsville,1992-07-15,13660200
Cannonsville,1992-08-15,13662000
Cannonsville,1992-09-15,14035500
Cannonsville,1992-10-15,6300
Cannonsville,1993-04-15,18203400
Cannonsville,1993-05-15,17794800
Cannonsville,1993-06-15,16179300
Cannonsville,1993-07-15,14145300
Cannonsville,1993-08-15,14125500
Cannonsville,1993-09-15,10475100
Cannonsville,1993-10-15,10476900
Cannonsville,1993-11-15,18105300
Cannonsville,1994-04-15,18127800
Cannonsville,1994-05-15,17366400
Cannonsville,1994-06-15,16301700
Cannonsville,1994-07-15,16129800
Cannonsville,1994-08-15,16210800
Cannonsville,1994-09-15,16208100
Cannonsville,1994-10-15,16164000
Cannonsville,1994-11-15,17878500
